Code,Nom,DCI,Marque,Categorie,Rayon,Prix Vente,Prix Achat,Rx,Quantite,Date de preremption
8441194,DOVE SHAMPOOING,,DOVE SHAMPOOING,PARAPHARMA,PARAPHARMA,40000,0,Non,0,43831
2700004,DR MIRACLES TEMPLE,,DR MIRACLES TEMPLE,PARAPHARMA,PARAPHARMA,75000,0,Non,0,43831
880015,EAU DE JAVEL LA CROIX,,EAU DE JAVEL LA CROIX,PARAPHARMA,PARAPHARMA,11500,1000,Non,0,41424
7688518,EAU PRECIEUSE,,EAU PRECIEUSE,PARAPHARMA,PARAPHARMA,43000,0,Non,0,43831
4101109,EDEB BABY LOTION,,EDEB BABY LOTION,PARAPHARMA,PARAPHARMA,60000,0,Non,0,43831
6174812,EGOUTTOIR BIBERON,,EGOUTTOIR BIBERON,PARAPHARMA,PARAPHARMA,70000,0,Non,1,53297
EMPI001,EMPIRE 50,,EMPIRE 50,PARAPHARMA,PARAPHARMA,50000,0,Non,0,44986
SARC001,EPONGE BB,,EPONGE BB,PARAPHARMA,PARAPHARMA,5000,1000,Non,0,47757
8522812,EQUATE BABY OIL CREME,,EQUATE BABY OIL CREME,PARAPHARMA,PARAPHARMA,35000,0,Non,0,47484
ERA0001,ERATO DEODORANT,,ERATO DEODORANT,PARAPHARMA,PARAPHARMA,35000,0,Non,0,44044
19793,ESSENTIALS STICK,,ESSENTIALS STICK,PARAPHARMA,PARAPHARMA,45000,0,Non,0,43831
680362,EVOLUDERM LAIT,,EVOLUDERM LAIT,PARAPHARMA,PARAPHARMA,70000,0,Non,0,44166
681406,EVOLUDERM LOTION DOUCEUR,,EVOLUDERM LOTION DOUCEUR,PARAPHARMA,PARAPHARMA,26000,1000,Non,0,41707
EXTR001,EXTRA 2 RASOIR BIC,,EXTRA 2 RASOIR BIC,PARAPHARMA,PARAPHARMA,50000,0,Non,7,47543
FAAL001,FA ALOE VERA,,FA ALOE VERA,PARAPHARMA,PARAPHARMA,40000,0,Non,0,44986
FACR002,FA CREME DE DOUCHE,,FA CREME DE DOUCHE,PARAPHARMA,PARAPHARMA,40000,0,Non,0,43831
FACH002,FA GEL DE DOUCHE,,FA GEL DE DOUCHE,PARAPHARMA,PARAPHARMA,35000,0,Non,0,44927
FAMEN001,FA MEN,,FA MEN,PARAPHARMA,PARAPHARMA,35000,0,Non,0,44105
FASA001,FA SAVON,,FA SAVON,PARAPHARMA,PARAPHARMA,15000,0,Non,0,44470
FAYO004,FA YAGHURT,,FA YAGHURT,PARAPHARMA,PARAPHARMA,40000,0,Non,0,44986
3645384,FAIR & WHITE CREME,,FAIR & WHITE CREME,PARAPHARMA,PARAPHARMA,45000,0,Non,0,43831
1700075,FAIR & WHITE EXCLUSIVE,,FAIR & WHITE EXCLUSIVE,PARAPHARMA,PARAPHARMA,36000,0,Non,0,44196
1700033,FAIR & WHITE GEL CRÉME,,FAIR & WHITE GEL CRÉME,PARAPHARMA,PARAPHARMA,65000,0,Non,0,44196
3645322,FAIR & WHITE GEL CREME FL DE 30ML,,FAIR & WHITE GEL CREME FL DE 30ML,PARAPHARMA,PARAPHARMA,55000,0,Non,0,44196
4301890,FAIR & WHITE LAIT ECLAIRISSANT,,FAIR & WHITE LAIT ECLAIRISSANT,PARAPHARMA,PARAPHARMA,130000,0,Non,0,40956
1700076,FAIR & WHITE LINGETTE BACTÉRIENNES,,FAIR & WHITE LINGETTE BACTÉRIENNES,PARAPHARMA,PARAPHARMA,36000,0,Non,0,44196
8080164,FAIR & WHITE LOTION PURIFIANTE,,FAIR & WHITE LOTION PURIFIANTE,PARAPHARMA,PARAPHARMA,55000,0,Non,0,44196
1700528,FAIR & WHITE SAVON AHA-2 CLARIFIANT,,FAIR & WHITE SAVON AHA-2 CLARIFIANT,PARAPHARMA,PARAPHARMA,50000,0,Non,0,44196
8080362,FAIR & WHITE SAVON ALOE VERA,,FAIR & WHITE SAVON ALOE VERA,PARAPHARMA,PARAPHARMA,50000,0,Non,0,44196
1700021,FAIR & WHITE SAVON EXCLUSIVE WHITENIZER,,FAIR & WHITE SAVON EXCLUSIVE WHITENIZER,PARAPHARMA,PARAPHARMA,48000,0,Non,0,44196
3645339,FAIR & WHITE SAVON GOMMANT,,FAIR & WHITE SAVON GOMMANT,PARAPHARMA,PARAPHARMA,45000,0,Non,0,44196
