Code,Nom,DCI,Marque,Categorie,Forme,Prix Vente,Prix Achat,Rx,Quantite,Peremption
PN0284,Decontractyl cp,,,Autre,Comprime,0,0,Non,0,
PN0285,Jafazot 20g,,,Autre,Comprime,0,0,Non,0,
PN0286,Gastrozol D cp,,,Autre,Comprime,0,0,Non,5,
PN0287,Gastrozol cp,,,Autre,Comprime,0,0,Non,0,
PN0288,Gamalate B6 cp,,,Autre,Comprime,0,0,Non,4,
PN0289,Generve P cp,,,Autre,Comprime,0,0,Non,0,
PN0290,Gagnerve BT cp,,,Autre,Comprime,0,0,Non,1,
PN0291,Gestrokit cp,,,Autre,Comprime,0,0,Non,0,
PN0292,Gastrokit plus cp,,,Autre,Comprime,0,0,Non,1,
PN0293,Genset cp,,,Autre,Comprime,0,0,Non,3,
PN0294,Genes Vit cp,,,Autre,Comprime,0,0,Non,0,
PN0295,Genes Grossesse cp,,,Autre,Comprime,0,0,Non,1,
PN0296,Gestane cp,,,Autre,Comprime,0,0,Non,3,
PN0297,Genes Vit mult-vitamine cp,,,Autre,Comprime,0,0,Non,2,
PN0298,Glimeperide Denk cp,,,Autre,Comprime,0,0,Non,3,
PN0299,Ginkor cp,,,Autre,Comprime,0,0,Non,0,
PN0300,Guncipro Forte cp,,,Autre,Comprime,0,0,Non,6,
PN0301,Gynopen cp,,,Autre,Comprime,0,0,Non,2,
PN0302,Glucophage 500mg cp,,,Autre,Comprime,0,0,Non,5,
PN0303,Glucophage 850mg cp,,,Autre,Comprime,0,0,Non,0,
PN0304,Glucovance 500mg cp,,,Autre,Comprime,0,0,Non,0,
PN0305,Glucovance 1000mg cp,,,Autre,Comprime,0,0,Non,0,
PN0306,Glyferon 850mg cp,,,Autre,Comprime,0,0,Non,1,
PN0307,Glyferon 1000mg cp,,,Autre,Comprime,0,0,Non,0,
PN0308,Gynecline 200 cp,,,Autre,Comprime,0,0,Non,3,
PN0309,Gynospan cp,,,Autre,Comprime,0,0,Non,0,
PN0310,Haemup cp,,,Autre,Comprime,0,0,Non,1,
PN0311,Helminthox 250mg cp,,,Autre,Comprime,0,0,Non,0,
PN0312,Hemafer cp/eff,,,Autre,Comprime,0,0,Non,4,
PN0313,Hemafer fol eff cp,,,Autre,Comprime,0,0,Non,5,
PN0314,Hemafer ccp/crocquer,,,Autre,Comprime,0,0,Non,6,
PN0315,Hemafer fol cp/crocquer,,,Autre,Comprime,0,0,Non,0,
PN0316,Helicocin cp,,,Autre,Comprime,0,0,Non,0,
PN0317,Ibumol cp,,,Autre,Comprime,0,0,Non,6,
PN0318,Isolone 5mg cp,,,Autre,Comprime,0,0,Non,1,
PN0319,Isolone 20mg cp,,,Autre,Comprime,0,0,Non,1,
PN0320,Inflacam cp,,,Autre,Comprime,0,0,Non,1,
